test_general_id,musical,professional,familiar_listening_tests,item_id,GT,value,playcount,certainty
16,0,0,0,1,1,1,1,2
16,0,0,0,2,6,1,3,1
16,0,0,0,3,5,2,3,1
16,0,0,0,4,4,2,3,1
16,0,0,0,5,2,1,2,2
16,0,0,0,6,3,2,1,1
16,0,0,0,7,6,2,2,1
16,0,0,0,8,4,2,2,1
16,0,0,0,9,5,2,2,1
16,0,0,0,10,3,2,1,2
16,0,0,0,11,1,1,1,2
16,0,0,0,12,2,1,3,1
17,0,0,0,1,1,1,3,1
17,0,0,0,2,6,2,3,1
17,0,0,0,3,5,2,3,1
17,0,0,0,4,4,2,2,1
17,0,0,0,5,2,2,3,1
17,0,0,0,6,3,2,1,1
17,0,0,0,7,6,3,3,1
17,0,0,0,8,4,2,3,1
17,0,0,0,9,5,2,2,1
17,0,0,0,10,3,2,2,1
17,0,0,0,11,1,1,3,2
17,0,0,0,12,2,1,3,0
18,0,0,0,1,1,1,1,2
18,0,0,0,2,6,2,3,1
18,0,0,0,3,5,1,3,1
18,0,0,0,4,4,2,3,1
18,0,0,0,5,2,2,2,1
18,0,0,0,6,3,2,3,1
18,0,0,0,7,6,3,1,1
18,0,0,0,8,4,3,2,1
18,0,0,0,9,5,2,1,1
18,0,0,0,10,3,2,2,1
18,0,0,0,11,1,1,1,2
18,0,0,0,12,2,1,1,2
19,0,0,0,1,1,1,2,1
19,0,0,0,2,6,3,3,1
19,0,0,0,3,5,2,2,2
19,0,0,0,4,4,3,1,1
19,0,0,0,5,2,1,3,1
19,0,0,0,6,3,2,1,2
19,0,0,0,7,6,3,3,1
19,0,0,0,8,4,3,3,2
19,0,0,0,9,5,2,3,2
19,0,0,0,10,3,2,3,2
19,0,0,0,11,1,1,1,2
19,0,0,0,12,2,1,1,1
20,1,0,0,1,1,1,1,2
20,1,0,0,2,6,2,3,1
20,1,0,0,3,5,2,3,1
20,1,0,0,4,4,2,3,1
20,1,0,0,5,2,1,1,2
20,1,0,0,6,3,3,3,1
20,1,0,0,7,6,3,3,2
20,1,0,0,8,4,2,1,2
20,1,0,0,9,5,3,2,1
20,1,0,0,10,3,2,1,2
20,1,0,0,11,1,1,1,2
20,1,0,0,12,2,2,2,1
21,1,0,0,1,1,1,1,2
21,1,0,0,2,6,3,2,1
21,1,0,0,3,5,3,2,2
21,1,0,0,4,4,3,3,1
21,1,0,0,5,2,1,2,2
21,1,0,0,6,3,3,1,2
21,1,0,0,7,6,3,1,2
21,1,0,0,8,4,3,2,2
21,1,0,0,9,5,3,2,2
21,1,0,0,10,3,3,2,2
21,1,0,0,11,1,1,1,2
21,1,0,0,12,2,2,2,2
22,0,0,1,1,1,1,3,0
22,0,0,1,2,6,2,3,1
22,0,0,1,3,5,3,3,1
22,0,0,1,4,4,3,3,1
22,0,0,1,5,2,2,3,1
22,0,0,1,6,3,3,3,0
22,0,0,1,7,6,3,3,0
22,0,0,1,8,4,3,3,1
22,0,0,1,9,5,3,3,0
22,0,0,1,10,3,3,3,1
22,0,0,1,11,1,1,3,1
22,0,0,1,12,2,2,3,1
23,0,0,1,1,1,2,2,2
23,0,0,1,2,6,3,3,0
23,0,0,1,3,5,4,3,0
23,0,0,1,4,4,3,3,1
23,0,0,1,5,2,2,3,1
23,0,0,1,6,3,2,1,1
23,0,0,1,7,6,4,3,1
23,0,0,1,8,4,4,3,1
23,0,0,1,9,5,4,3,0
23,0,0,1,10,3,3,3,1
23,0,0,1,11,1,2,3,0
23,0,0,1,12,2,2,3,1
24,0,0,0,1,1,1,2,2
24,0,0,0,2,6,2,1,0
24,0,0,0,3,5,2,1,0
24,0,0,0,4,4,2,1,0
24,0,0,0,5,2,1,2,1
24,0,0,0,6,3,2,1,2
24,0,0,0,7,6,2,1,0
24,0,0,0,8,4,2,2,2
24,0,0,0,9,5,3,1,0
24,0,0,0,10,3,2,1,1
24,0,0,0,11,1,1,1,1
24,0,0,0,12,2,1,2,1
25,0,1,1,1,1,1,2,2
25,0,1,1,2,6,3,3,1
25,0,1,1,3,5,4,3,1
25,0,1,1,4,4,2,3,0
25,0,1,1,5,2,2,2,2
25,0,1,1,6,3,3,1,0
25,0,1,1,7,6,4,3,2
25,0,1,1,8,4,4,3,1
25,0,1,1,9,5,3,3,1
25,0,1,1,10,3,3,3,1
25,0,1,1,11,1,1,1,2
25,0,1,1,12,2,2,3,1
26,1,0,1,1,1,1,1,2
26,1,0,1,2,6,3,3,0
26,1,0,1,3,5,2,2,0
26,1,0,1,4,4,3,1,1
26,1,0,1,5,2,2,2,1
26,1,0,1,6,3,2,2,1
26,1,0,1,7,6,3,3,1
26,1,0,1,8,4,3,1,1
26,1,0,1,9,5,3,1,1
26,1,0,1,10,3,3,2,1
26,1,0,1,11,1,1,1,2
26,1,0,1,12,2,2,1,1
27,1,1,1,1,1,1,1,2
27,1,1,1,2,6,4,3,0
27,1,1,1,3,5,4,3,0
